date,symbol,volume.x,close.x,adjusted.x,symbol2,ratio.x,volume.y,close.y,adjusted.y,ccl
2020-07-15,HPQ.BA,25,2001,2001,HPQ,1,14876500,17.790001,17.790001,112.47891441939773
2020-07-16,HPQ.BA,115,2047.5,2047.5,HPQ,1,8319300,17.83,17.83,114.8345485137409
2020-07-17,HPQ.BA,28,2051,2051,HPQ,1,14076400,17.549999,17.549999,116.86610352513411
2020-07-20,HPQ.BA,25,2100,2100,HPQ,1,8371400,17.65,17.65,118.9801699716714
2020-07-21,HPQ.BA,257,2090.5,2090.5,HPQ,1,10038400,17.48,17.48,119.59382151029747
2020-07-22,HPQ.BA,15,2085.5,2085.5,HPQ,1,8483400,17.73,17.73,117.62549351381838
2020-07-23,HPQ.BA,29,2030,2030,HPQ,1,7281300,17.66,17.66,114.94903737259344
2020-07-24,HPQ.BA,51,2010,2010,HPQ,1,8019400,17.5,17.5,114.85714285714286
2020-07-27,HPQ.BA,23,2078.5,2078.5,HPQ,1,9427300,17.809999,17.809999,116.70410537361624
2020-07-28,HPQ.BA,67,2004.5,2004.5,HPQ,1,19906000,16.700001,16.700001,120.02993293233935
2020-07-29,HPQ.BA,16,1970,1970,HPQ,1,12325900,17.08,17.08,115.33957845433257
2020-07-30,HPQ.BA,43,2080,2080,HPQ,1,8938700,17.24,17.24,120.64965197215778
2020-05-04,HMC.BA,3,2578,2577.762939,HMC,1,549400,22.709999,22.709999,113.51827888675821
2020-05-05,HMC.BA,30,2550,2549.765381,HMC,1,420000,22.870001,22.870001,111.49977649760488
2020-05-06,HMC.BA,59,2550,2549.765381,HMC,1,343700,22.85,22.85,111.59737417943107
2020-05-07,HMC.BA,1,2600,2599.760986,HMC,1,479800,22.790001,22.790001,114.0851200489197
2020-05-08,HMC.BA,100,2700,2699.751709,HMC,1,602800,23.969999,23.969999,112.6408057004925
2020-05-11,HMC.BA,2,2750,2749.74707,HMC,1,1264300,23.98,23.98,114.6788990825688
2020-05-14,HMC.BA,4,2700,2699.751709,HMC,1,1151600,22.67,22.67,119.10013233348036
2020-05-18,HMC.BA,7,2771,2770.745117,HMC,1,907500,23.870001,23.870001,116.08713380447702
2020-05-20,HMC.BA,3,2800,2799.742432,HMC,1,603400,24.110001,24.110001,116.13437925614353
2020-05-21,HMC.BA,6,2800,2799.742432,HMC,1,608800,23.73,23.73,117.99410029498524
2020-05-22,HMC.BA,4,2800,2799.742432,HMC,1,709700,23.610001,23.610001,118.59381115655184
2020-06-18,HMC.BA,4,2900,2900,HMC,1,374100,27.27,27.27,106.34396773010634
2020-06-19,HMC.BA,1,2935,2935,HMC,1,856700,26.75,26.75,109.7196261682243
2020-06-22,HMC.BA,9,2967,2967,HMC,1,488600,26.950001,26.950001,110.09276029340407
